country,ef_kgco2_per_kwh,ef_gco2_per_kwh
Cambodia,0.58586,585.86
Indonesia,0.7777147540983607,777.7147540983607
Lao PDR,0.5743209523809524,574.3209523809523
Malaysia,0.6703390243902442,670.3390243902442
Myanmar,0.3948,394.8
Philippines,0.5160018867924526,516.0018867924526
Singapore,0.4862333333333333,486.2333333333333
Thailand,0.5483403846153844,548.3403846153843
Viet Nam,0.6029550201612924,602.9550201612924
