Country,Region_Grid,Publisher,Data_Vintage,Method,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Applicability_Wind_Solar,Applicability_Other,Crediting_Period_1,Crediting_Period_2,Crediting_Period_3,Notes,Sources,URLs
Indonesia,Tanjung Balai Karimun,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90800000000000003,1.0920000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Tanjung Batu,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Tanjung Batu,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.747,0.73399999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Kelong,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Kelong,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89900000000000002,0.94599999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Ladan,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Ladan,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90800000000000003,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Letung,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Letung,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Midai,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Midai,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83399999999999996,0.77100000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,P Buru,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,P Buru,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73199999999999998,0.98799999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Ranai,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Ranai,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68700000000000006,0.71799999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Sedanau,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Sedanau,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77300000000000002,0.81100000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Serasan,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Serasan,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74299999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Tarempa,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Tarempa,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746,0.73499999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Bangka,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Bangka,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79300000000000004,0.80700000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Belitung,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Belitung,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.171,0.73299999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,S Nasik,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,S Nasik,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.749,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Seliu,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Seliu,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88300000000000001,1.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Khatulistiwa,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39200000000000002,0.748,0.76500000000000001,NA,0.73,0.73,0.748,0.75900000000000001,0.77500000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Khatulistiwa,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308,0.72099999999999997,0.77300000000000002,NA,0.73199999999999998,0.72599999999999998,0.733,0.73799999999999999,0.78600000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Barito,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4339999999999999,1.4139999999999999,1.22,NA,0.9,0.91200000000000003,1.003,1.2869999999999999,1.2729999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Barito,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4870000000000001,1.512,1.163,NA,0.9,0.88800000000000001,0.96,1.345,NA,NA,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Mahakam,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96599999999999997,0.92700000000000005,1.2529999999999999,NA,1.03,0.93,0.82,1.131,NA,NA,0.74199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Mahakam,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1279999999999999,0.76,1.2549999999999999,NA,1.069,0.95899999999999996,0.861,1.2,NA,NA,0.71499999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Tarakan,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60699999999999998,0.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Tarakan,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60799999999999998,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Sulutgo,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.628,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Sulutgo,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.71499999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Minahasa-Kotamobagu,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53200000000000003,0.46500000000000002,0.319,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Minahasa-Kotamobagu,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.48,0.332,0.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,"South, West and Southeast Sulawesi",NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26900000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,"South, West and Southeast Sulawesi",NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26700000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
