entity,code,year,electricity_demand_t_wh,electricity_generation_t_wh
Singapore,SGP,2020,50.87,50.87
Singapore,SGP,2021,53.47,53.47
Singapore,SGP,2022,54.79,54.79
Thailand,THA,2000,92.34,89.52
Thailand,THA,2001,98.44,95.73
Thailand,THA,2002,104.2,101.58
Thailand,THA,2003,111.25,108.98
Thailand,THA,2004,120.21,117.09
Thailand,THA,2005,126.87,123
Thailand,THA,2006,133.8,129.23
Thailand,THA,2007,136.05,132.31
Thailand,THA,2008,138.2,136.38
Thailand,THA,2009,138.33,137.18
Thailand,THA,2010,156.23,150.29
Thailand,THA,2011,156.58,147.14
Thailand,THA,2012,165.77,157.15
Thailand,THA,2013,171.4,160.62
Thailand,THA,2014,173.13,162.94
Thailand,THA,2015,178.88,166.73
Thailand,THA,2016,196.16,177.77
Thailand,THA,2017,205.11,181.79
Thailand,THA,2018,207.68,182.1
Thailand,THA,2019,213.27,190.61
Thailand,THA,2020,206.17,179.24
Thailand,THA,2021,215.56,186.88
Thailand,THA,2022,221.59,190.88
