Substance,Sector,edgar_country_code,country,year,co2_emissions_tonnes,code,electricity_demand_t_wh,electricity_generation_t_wh,ef_kgco2_per_kwh,ef_gco2_per_kwh,daily_pv_average,yearly_pv,solar_capacity_factor
CO2,Industrial Combustion,KHM,Cambodia,1976,0.0048953637909088,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1976,0.065688941027148,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1976,0.040066135744508,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1976,0.069889698417517,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1976,7.7223576298e-4,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1977,0.051353151168779,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1977,6.6073738041341e-11,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1977,0.0091770426263473,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1977,0.10240301620096,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1977,0.039614599317107,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1977,0.077477578160303,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1977,8.9629529891e-4,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1978,0.072425860291529,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1978,7.9287858793786e-11,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1978,0.0088297225009705,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1978,0.074639346751479,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1978,0.019800754140166,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1978,0.082244015260348,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1978,0.00100920341588,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1979,0.072947913029907,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1979,7.9287858793786e-11,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1979,0.012145302111715,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1979,0.082242873129038,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1979,0.014438593665182,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1979,0.088741789905785,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1979,0.00111932367811,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1980,0.091548105514543,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1980,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1980,0.0092226698945764,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1980,0.084754122749666,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1980,0.014404307956502,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1980,0.090282977946062,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1980,0.00124198928667,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1981,0.075825234017494,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1981,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1981,0.021884725203608,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1981,0.091198160001483,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1981,0.014510632597204,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1981,0.098523312196723,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1981,0.00135489740364,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1982,0.082194227904827,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1982,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1982,0.015079397812182,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1982,0.1023442405019,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1982,0.015216433402305,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1982,0.11158971210427,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1982,0.00149429014064,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1983,0.094675128889142,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1983,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1983,0.015027712249384,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1983,0.11567395377326,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1983,0.015688988097924,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1983,0.1245210585497,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1983,0.00165598571556,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1984,0.079987822982632,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1984,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1984,0.015047150980814,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1984,0.11742166706211,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1984,0.016349144151238,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1984,0.13724730470973,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1984,0.00183301449155,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1985,0.07898722090141,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1985,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1985,0.020123414000359,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1985,0.13891037850248,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1985,0.016580186083132,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1985,0.14943082950267,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1985,0.00201561897702,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1986,0.05847806941849,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1986,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1986,0.0173683519829,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1986,0.1394508725406,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1986,0.017078071238125,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1986,0.11920353854874,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1986,0.00212852709399,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1987,0.075297634639673,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1987,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1987,0.01899549286015,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1987,0.14989256148691,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1987,0.017613787782211,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1987,0.13684022393165,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1987,0.00224143521096,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1988,0.08888233899967,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1988,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1988,0.019566944803161,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1988,0.15622104266327,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1988,0.018316154903672,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1988,0.14691905756786,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1988,0.00235713118267,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1989,0.10423258052046,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1989,NA,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
